River Plate;5584;70;12;1
Boca Juniors;5379;74;18;0
San Lorenzo;4914;22;3;1
Independiente;4866;45;18;1
Racing Club;4728;39;3;1
Velez;4370;16;5;1
Estudiantes;4346;14;6;2
Gimnasia;3568;0;0;5
Huracan;3531;13;0;4
Newells;3453;9;0;1
Rosario Central;3220;11;1;4
Lanus ;2939;6;2;6
Argentinos;2904;5;2;5
Ferro;2603;2;0;6
Banfiel;2477;2;0;7
Platense;2472;3;0;3
Chacarita;1976;1;0;7
Colon;1906;1;0;2
Atlanta;1737;7;0;3
Quilmes;1610;2;0;10
Tigre;1558;1;0;6
Union;1532;0;0;6
Talleres de Cordoba;1371;1;1;3
Belgrano;948;1;0;4
Arsenal;865;5;1;1
Godoy Cruz;700;0;0;1
All Boys;604;4;0;2
Estudiantes (BA);591;1;0;1
Instituto;580;0;0;2
Dep. Español;566;0;0;2
Almagro;541;0;0;3
Nueva chicago;536;1;0;4
San Isidro;527;0;0;5
Gimnasia (J);525;0;0;2
Olimpo;493;0;0;4
Estudiantil Porteño;487;0;0;4
Temperley;472;0;0;3
Atl Tucuman;457;0;0;1
Def. de Belgrano;441;0;0;1
Barracas Central;440;0;0;3
Argentino (Q);427;0;0;1
Racing ©;405;0;0;1
Sp. Barracas;396;0;0;2
Def y Justicia;390;2;0;0
Porteño ;356;0;0;5
San Martin (T);335;1;0;4
San Martin (SJ);315;0;0;3
Talleres (RdE);311;0;0;2
Sp. Palermo;308;0;0;1
Belgrano Athletic;305;0;0;1
